aeroplane_1920	aeroplane_1930	aeroplane_1940	aeroplane_1950	aeroplane_1960	aeroplane_1970	
cinema_1920	cinema_1930	cinema_1940	cinema_1950	cinema_1960	cinema_1970	
movie	movie	hollywood	atomism	guild	hughie	
theatres	films	film	movie	theater	jen	
actress	hollywood	producer	fonda	showings	moving-picture	
film	theatres	olivier	debut	opera	verne	
motion-picture	film	motion-picture	actor	huber	draftsman	
vaudeville	producer	movie	strives	debut	tine	
producer	paramount	laurence	slashing	movies	playhouse	
cameras	starring	hoyos	cowan	hughie	theatre	
movies	entertainment	blumenthal	hollywood	wide-awake	commissioned	

computer_1920	computer_1930	computer_1940	computer_1950	computer_1960	computer_1970	
brassiere	bz	inflate	electronic	computers	computers	
amin	normality	amplification	relays	data	electronic	
eire	polarity	galleys	computing	electronic	computerized	
pleated	dov	calculator	computers	ibm	data	
would	chlorine	blinks	calculator	radar	electrodes	
be	electronically	superiority	video	machines	equipment	
texaco	undergoes	hunh	activated	processing	systems	
will	detectors	rumpus	recorders	systems	input	
assigns	arsenic	annoys	devices	navigation	eeg	

cool_1920	cool_1930	cool_1940	cool_1950	cool_1960	cool_1970	
warm	warm	warm	warm	warm	warm	
breeze	calm	calm	breeze	calm	damp	
cold	cold	wet	cold	hot	cold	
soft	invigorating	fresh	calm	weather	hot	
sunshine	blowing	cold	hot	invigorating	skin	
balmy	soft	cooler	shaded	cold	calm	
dew	damp	soft	sultry	chilly	chill	
green	breeze	chilly	humid	pleasant	palms	
browned	cooler	balmy	cooler	humid	air	

deer_1920	deer_1930	deer_1940	deer_1950	deer_1960	deer_1970	
nimble	elk	antelope	rabbits	moose	foxes	
caribou	quail	elk	wild	turkeys	caribou	
rabbit	moose	moose	quail	elk	sheep	
elk	huntin	buffalo	antelope	antelope	hunting	
antlers	caribou	hunting	goats	hares	elk	
pheasants	sheep	herds	pigs	hunted	rabbits	
moose	skins	turkeys	buffalo	caribou	antelope	
muskrat	squirrel	wild	geese	pheasants	grouse	
wild	skinned	grizzly	elk	rabbits	wolves	

export_1920	export_1930	export_1940	export_1950	export_1960	export_1970	
exports	exports	exports	exports	exports	import	
shipments	import	import	import	import	exports	
commodities	imports	surpluses	prices	imports	imports	
prices	surplus	licenses	markets	commodities	exported	
import	shipments	exported	quotas	wheat	quotas	
products	commodities	commodities	commodities	goods	exporters	
exporting	products	imports	surplus	soybeans	commodities	
surplus	consumption	controls	exported	subsidized	textiles	
manufactured	exported	shipments	goods	exported	tariffs	

flight_1920	flight_1930	flight_1940	flight_1950	flight_1960	flight_1970	
flew	flights	flights	flights	flights	flights	
flights	plane	pilot	plane	airways	plane	
monoplane	fly	flew	aircraft	apollo	airport	
plane	pilot	flown	jet	space	jet	
non-stop	flying	flying	airlines	pilots	fly	
transatlantic	flyer	steps	flying	manned	aboard	
flying	planes	airplane	flew	jet	runway	
chamberlin	non-stop	plane	fly	gemini	space	
co-pilot	trip	fighter	airport	airlines	twa	

founder_1920	founder_1930	founder_1940	founder_1950	founder_1960	founder_1970	
jr	buhl	rawlings	antonius	great-grandfather	director	
famed	bahai	tuskegee	marcus	jr	former	
teamster	onetime	alexandrovitch	tycoon	founded	jr	
sir	bok	jos	insull	scipio	founded	
onetime	masaryk	biographer	foh	steuben	chairman	
founded	mccann	paz	lowell	graham	herbert	
patterson	roebling	publisher	shubert	francoise	dynasty	
economist	tycoon	perry	institute	mau	moshe	
director	son	asher	founded	longtime	screenplay	

gay_1920	gay_1930	gay_1940	gay_1950	gay_1960	gay_1970	
decorated	easterbrook	bright	smile	colors	nineties	
merry	amanda	nineties	bright	charming	activists	
silk	linda	charming	blue	flute	amusing	
pink	mandy	colors	wearing	pink	costumes	
bright	gaylord	hats	yellow	shades	carefree	
patchwork	moves	costumes	charm	pastel	pastel	
yellow	lovell	dressed	cheerful	brewer	congreve	
trudy	philo	flowers	happy	stripes	banter	
chintz	upstage	dance	colored	dancing	cheerful	

horse_1920	horse_1930	horse_1940	horse_1950	horse_1960	horse_1970	
horses	horses	horses	horses	horses	horses	
pony	mare	mare	stallion	pony	pony	
mare	pony	pony	barbary	riding	saddle	
saddle	mule	saddle	arabian	saddle	mare	
roan	saddle	mule	mare	rode	gelding	
galloped	sorrel	reins	mares	gallop	rode	
reins	stallion	stallion	barb	mule	ponies	
ponies	bridle	riding	saddle	horseback	hoofs	
steed	mules	bridle	imported	mare	tracker	

mail_1920	mail_1930	mail_1940	mail_1950	mail_1960	mail_1970	
passenger	postal	letters	mailing	envelopes	airmail	
streamlined	airmail	airmail	postmaster	postal	postal	
transport	airlines	mails	mails	telegrams	fraud	
trains	passenger	mailing	postal	messages	mailing	
passengers	passengers	packages	letters	letters	counts	
boeing	routes	censored	stamps	bills	bribery	
mall	mails	mailed	postage	airmail	letters	
daily	stamps	delivery	newspapers	newspapers	first-class	
sacks	parcels	parcels	magazines	stack	mailed	

memory_1920	memory_1930	memory_1940	memory_1950	memory_1960	memory_1970	
memories	memories	memories	memories	memories	memories	
recollection	images	recollection	recollection	recollection	images	
beauty	dream	brain	brain	lina	image	
radiant	forever	visual	spirit	sight	brain	
lingering	poignant	recollections	gravelly	judgement	dream	
enshrined	recollection	lingers	minds	continuity	detail	
somewhere	consciousness	image	ghosts	impression	pain	
picture	complained	hallucinations	vision	sensations	recollection	
hearts	vividness	insights	moments	remembered	perception	

mirror_1920	mirror_1930	mirror_1940	mirror_1950	mirror_1960	mirror_1970	
christine	dresser	mirrors	lens	bathroom	mirrors	
mirrors	mirrors	comb	mirrors	mirrors	window	
drawers	mantel	reflection	concave	dresser	bathroom	
dressing	hair	dressing	convex	comb	frame	
lenses	washstand	dressing-table	lenses	drawer	bedroom	
raoul	reflection	window	hair	razor	comb	
glass	candlesticks	tarnished	reflected	brushing	full-length	
mantel	shelf	chairs	curvature	drawers	undressing	
dressing-table	shaving	oval	dresser	at	stare	

mouse_1920	mouse_1930	mouse_1940	mouse_1950	mouse_1960	mouse_1970	
meadow	mickey	blueblossom	rat	mickey	mickey	
mole	disney	mice	mickey	indistinctly	hoarded	
proudfoot	panther	mickey	follicles	davy	harmon	
weasel	peeved	jonah	glycogen	crockett	rocking-chair	
hynes	rat	owen	mice	comic	emblems	
trademark	mice	chases	epidermis	owl	droppings	
rat	cartoon	agnes	granules	amelia	rat	
grandfather	osborne	cat	stratum	priced	harbored	
mice	walt	prim	aileen	cheeses	scraps	

music_1920	music_1930	music_1940	music_1950	music_1960	music_1970	
stravinsky	petrov	mozart	piano	piano	songs	
wagner	orchestra	haydn	orchestra	concerto	choral	
schubert	bg	brahms	bach	songs	composers	
beethoven	jazz	beethoven	jazz	bach	jewish	
symphonies	ls	played	tunes	guitar	synagogue	
jazz	symphony	piano	mozart	jazz	song	
concerto	playing	symphony	choral	song	piano	
brahms	violin	mendelssohn	organ	played	mozart	
musical	dance	song	brahms	brahms	melodies	

newspaper_1920	newspaper_1930	newspaper_1940	newspaper_1950	newspaper_1960	newspaper_1970	
newspapers	newspapers	newspapers	newspapers	magazine	newspapers	
editorial	news	news	magazine	newspapers	magazine	
press	editorial	papers	news	tabloid	full-page	
daily	scripps-howard	magazine	ads	news	news	
news	press	magazines	editors	editorial	published	
magazine	daily	daily	daily	daily	daily	
herald	papers	hearst	periodicals	magazines	ads	
editor	magazine	editors	published	hearst	magazines	
tribune	herald	page	papers	dailies	papers	

paper_1920	paper_1930	paper_1940	paper_1950	paper_1960	paper_1970	
sheets	sheet	sheets	kleenex	sheet	sheet	
pad	pad	sheet	folded	wrapping	stationery	
sheet	folded	papers	sheet	crumpled	ink	
scribbled	envelope	ink	pad	printed	crumpled	
pencil	disposable	wrapping	notebook	plastic	wrapping	
tape	sheets	pulp	crumpled	papers	cloth	
notes	piece	parchment	notations	cloth	pad	
neatly	cardboard	stationery	sheets	cardboard	wrapped	
envelope	typewritten	cardboard	pencil	wrappers	plastic	

phone_1920	phone_1930	phone_1940	phone_1950	phone_1960	phone_1970	
telephone	telephone	telephone	telephone	telephone	telephone	
hallie	exits	receiver	receiver	sheldrake	dialed	
yost	enters	exits	ev	booth	receiver	
exits	reacts	reacts	hello	receiver	phones	
enters	turns	dinah	hangs	dialed	doorbell	
finishes	thru	enters	griffith	picks	number	
title	looks	nods	booth	hangs	hangs	
receiver	brad	crosses	granny	doorbell	dialing	
turns	speaks	picks	picks	bullitt	calla	

racism_1920	racism_1930	racism_1940	racism_1950	racism_1960	racism_1970	
florimond	fanatic	catholicism	anti-semitism	bigotry	
seditious	mccloy	derivative	colonialism	discrimination	
sabotage	last	revolutionists	evils	imperialism	
intimidation	nationalism	darlan	segregation	injustice	
bungling	yaquis	addicted	discrimination	poverty	
dissemination	oftentimes	muhammad	depositors	zionism	
lupe	seminar	strong-arm	blatant	racist	
subversive	aldermanic	punks	civil-rights	inequality	
small-scale	catered	misinformation	zionism	racial	

record_1920	record_1930	record_1940	record_1950	record_1960	record_1970	
records	records	records	records	records	records	
txt	olympic	phonograph	highs	phonograph	lows	
period	seconds	capehart	high	cha	alphonse	
altitude	highs	highs	all-time	total	list	
faire	flight	reached	average	billion	alltime	
steel	games	high	champion	high	bushels	
share	evidence	track	won	champion	all-time	
laissez	high	crimes	peak	mph	compiled	
also	phonograph	low	championships	games	broke	

rock_1920	rock_1930	rock_1940	rock_1950	rock_1960	rock_1970	
rocks	rocks	cliffs	rocks	rocks	rocks	
ledge	limestone	rocks	granite	sandstone	music	
cliff	ledges	granite	cliffs	ledge	stone	
rocky	sand	cliff	yosemite	granite	cliff	
shale	resistant	stone	nah	sand	ledge	
sandstone	rocky	sandstone	boulders	limestone	singer	
sand	ledge	mountains	ice	stone	walls	
pinpoint	granite	mountain	crags	stones	mountain	
limestone	gravel	steep	sand	boulders	steep	

ship_1920	ship_1930	ship_1940	ship_1950	ship_1960	ship_1970	
ships	ships	ships	ships	ships	ships	
vessel	boat	vessel	liner	vessel	boat	
boat	crew	cruiser	boat	boat	aboard	
liner	steamer	boat	vessel	plumie	vessel	
schooner	vessel	vessels	aboard	freighter	boats	
craft	liner	submarine	freighter	scow	vessels	
aboard	boats	liner	yacht	plane	port	
vessels	freighter	tanker	craft	liner	crew	
harbor	aboard	aboard	port	port	freighter	

symptom_1920	symptom_1930	symptom_1940	symptom_1950	symptom_1960	symptom_1970	
constipation	diagnose	symptoms	symptoms	decadence	diagnosed	
intestinal	cramps	disorders	deficiencies	rationalism	epidermal	
dysentery	disorder	mental	chronic	domains	acute	
abnormal	illnesses	nervous	disorders	internationalism	symptoms	
beginner	malady	phobia	jeter	imminence	congenital	
endemic	syphilis	chronic	arthritis	stagnation	gangrene	
mcnair	pathological	emotional	infidelity	bungling	diagnosis	
rheumatic	symptoms	insomnia	causation	psychosomatic	extremities	
solomons	chronic	neurosis	maladjustment	contagious	bronchitis	

tank_1920	tank_1930	tank_1940	tank_1950	tank_1960	tank_1970	
ay	tanks	tanks	tanks	tanks	tanks	
gat	gasoline	armored	gas	fuel	fuel	
tanks	fuel	tankers	fuel	gas	infantry	
vas	gas	cars	gasoline	steam	artillery	
tal	gallon	trucks	diesel	valve	gas	
py	pump	oil	artillery	water	gasoline	
gasoline	motorized	divisions	treads	liquid	ruptured	
gel	gallons	artillery	truck	gasoline	chassis	
ven	ranch	guns	engines	pump	diesel	

tape_1920	tape_1930	tape_1940	tape_1950	tape_1960	tape_1970	
ticker	adhesive	adhesive	adhesive	recorders	nous	
confetti	ticker	ticker	recorder	recorder	recorder	
adhesive	wound	gauze	tapes	recordings	je	
paper	gauze	bandage	ticker	tapes	chez	
bandage	thread	swirls	recording	reels	tapes	
cord	sponge	stitched	recorders	audio	une	
strips	tightly	wire	warp	video	tres	
plaster	twine	pins	insulating	simp	tout	
cloth	ankle	patching	machines	adhesive	ce	

telephone_1920	telephone_1930	telephone_1940	telephone_1950	telephone_1960	telephone_1970	
phone	phone	phone	phone	phone	phone	
telegraph	telegraph	phones	long-distance	bell	phones	
wireless	bell	bell	telegraph	shockley	rang	
operator	doorbell	telegraph	bell	dialed	dialed	
telephones	long-distance	operator	operator	number	telephones	
messages	telephones	receiver	telephones	long-distance	bell	
bell	telegraphic	doorbell	radio	telegraph	operator	
receiver	insistently	telephones	doorbell	calls	doorbell	
radio	operator	dial	receiver	doorbell	number	

train_1920	train_1930	train_1940	train_1950	train_1960	train_1970	
trains	trains	trains	trains	trains	trains	
car	car	passenger	westbound	railroad	bus	
freight	freight	freight	eastbound	passenger	freight	
passengers	railroad	eastbound	railroad	bus	railroad	
eastbound	cars	railroad	cars	freight	passengers	
westbound	bus	bus	car	subway	subway	
railroad	pullman	westbound	locomotive	commuter	amtrak	
cars	station	cars	station	tracks	rail	
wagon	westbound	passengers	wagon	station	truck	

travel_1920	travel_1930	travel_1940	travel_1950	travel_1960	travel_1970	
four-fifths	optic	trips	transportation	electrons	tourist	
traffic	passenger	tourist	scooter	junket	section	
saddlebags	transcontinental	steamship	traveling	imports	fares	
traveling	transportation	traveling	trip	trips	fare	
leisure	retina	second-class	passenger	delays	trips	
compatibility	space	overland	travelling	passenger	traveled	
zo	route	passengers	unavoidable	particles	letters	
riding	impulses	roads	light-years	transport	traveling	
travelers	patrolled	traffic	fares	freight	ship	

