aeroplane_1920	aeroplane_1930	aeroplane_1940	aeroplane_1950	aeroplane_1960	aeroplane_1970	
cu	blackie	pans	reacts	camera_1930	camera_1930	
camera_1940	bg	fg	shooting	camera_1950	kimberly	
coughdrops	fg	bg	mls	cameras	camera_1950	
kelly	laspary	vadassy	cs	camera_1920	cameras	
med	camera_1950	reacts	ms	closeup	lens	
camera_1930	mcu	dinah	left	bergdorf	camera_1920	
kali	forelo	exits	speaks	angle	shockley	

car_1920	car_1930	car_1940	car_1950	car_1960	car_1970	
car_1930	car_1920	car_1960	car_1960	car_1970	car_1960	
car_1940	car_1950	car_1950	car_1970	car_1950	car_1950	
cars	car_1940	car_1930	car_1930	car_1940	car_1940	
car_1950	car_1960	car_1970	car_1940	car_1930	cars	
car_1960	cars	car_1920	cars	cars	car_1930	
train_1920	car_1970	cars	car_1920	car_1920	truck	
car_1970	truck	truck	truck	truck	parked	
truck	cadillac	parked	camera_1950	parked	cadillac	
train_1930	automobile_1920	taxi	valerian	cadillac	jeep	

cinema_1920	cinema_1930	cinema_1940	cinema_1950	cinema_1960	cinema_1970	
movie	movie	movie	movie	theater	theater	
hollywood	motion-picture	hollywood	motion-picture	theatre	moving-picture	
cinema_1930	cinema_1920	film	actor	movie	theaters	
motion-picture	films	motion-picture	film	movies	loew	
film	metro-goldwyn-mayer	cinema_1930	stereotypes	showings	movie	
theatres	hollywood	olivier	movies	film	drama	
paramount	theatres	actor	vaudeville	theatres	tel	
studios	cinema_1940	rko	broadway	actors	theatre	
vaudeville	film	garson	westerns	films	theatres	

computer_1920	computer_1930	computer_1940	computer_1950	computer_1960	computer_1970	
be	computer_1940	computer_1950	computer_1940	computers	computers	
would	conductivity	computer_1930	computers	computer_1970	computer_1960	
seen	however	superiority	electronic	electronic	electronic	
able	end-point	computer_1960	computer_1970	data	computerized	
students	so	equipment	computer_1960	ibm	computer_1950	
again	computer_1960	amplification	relays	radar	eeg	
should	computers	discriminations	calculator	programmed	circuits	
forget	possible	pioneered	recorders	processing	data	
probably	normality	computers	circuits	electronically	monitoring	

cool_1920	cool_1930	cool_1940	cool_1950	cool_1960	cool_1970	
cool_1930	cool_1920	cool_1930	cool_1920	cool_1920	cool_1950	
cool_1940	cool_1940	cool_1920	cool_1930	cool_1950	cool_1920	
cool_1950	cool_1950	warm	cool_1960	warm	cool_1930	
cool_1960	warm	cool_1950	cool_1970	cool_1930	cool_1940	
warm	cool_1960	cool_1960	cool_1940	cool_1940	calm	
cool_1970	coolness	cool_1970	warm	cool_1970	cool_1960	
coolness	calm	calm	calm	cold	damp	
fresh	cool_1970	fresh	coolness	calm	warm	
cold	damp	coolness	refreshing	moist	cold	

deer_1920	deer_1930	deer_1940	deer_1950	deer_1960	deer_1970	
deer_1970	deer_1970	deer_1970	deer_1970	deer_1970	deer_1920	
deer_1960	deer_1940	deer_1960	deer_1940	deer_1940	deer_1940	
deer_1940	deer_1920	deer_1950	deer_1960	deer_1920	deer_1960	
deer_1950	deer_1950	antelope	deer_1920	deer_1950	deer_1950	
deer_1930	deer_1960	deer_1920	rabbits	deer_1930	deer_1930	
elk	caribou	elk	antelope	elk	elk	
caribou	moose	deer_1930	elk	antelope	caribou	
antelope	elk	caribou	deer_1930	rabbits	antelope	
moose	antelope	buffalo	caribou	caribou	rabbits	

export_1920	export_1930	export_1940	export_1950	export_1960	export_1970	
export_1930	exports	export_1950	export_1940	exports	export_1940	
exports	export_1940	export_1930	exports	export_1950	import	
export_1940	export_1950	exports	export_1930	export_1930	export_1950	
products	export_1920	export_1970	export_1960	export_1970	exports	
export_1950	import	import	export_1970	export_1940	export_1930	
imports	export_1970	exported	import	import	export_1960	
commodities	export_1960	export_1960	imports	imports	imports	
import	imports	imports	commodities	commodities	exporting	
surplus	commodities	commodities	export_1920	exported	quotas	

flight_1920	flight_1930	flight_1940	flight_1950	flight_1960	flight_1970	
flight_1930	flight_1920	flight_1930	flight_1960	flight_1970	flight_1960	
flight_1940	flight_1940	flight_1920	flights	flights	flights	
flew	flights	flight_1950	flight_1970	flight_1950	plane	
flights	flight_1960	flights	flight_1940	astronauts	flight_1950	
flight_1950	flight_1950	flight_1960	flight_1920	spacecraft	airport	
monoplane	flight_1970	flew	plane	airlines	airlines	
fly	fly	plane	flight_1930	gemini	jet	
chamberlin	pilot	pilot	flew	apollo	flight_1930	
flight_1960	flying	planes	pilot	manned	airline	

founder_1920	founder_1930	founder_1940	founder_1950	founder_1960	founder_1970	
founder_1950	founder_1950	founder_1930	founder_1930	founder_1950	founder_1940	
founder_1930	founder_1940	founder_1970	founder_1920	founder_1930	founder_1960	
founder_1960	founder_1920	founder_1960	founder_1960	founder_1970	founder_1930	
founder_1940	founder_1960	founder_1920	famed	founder_1940	founder_1950	
jr	founder_1970	founder_1950	founder_1970	founder_1920	founder_1920	
publisher	famed	famed	founder_1940	onetime	director	
onetime	onetime	publisher	jr	founded	moshe	
founder_1970	founded	descendant	founded	jr	jr	
multimillionaire	tycoon	onetime	tycoon	famed	israel	

gay_1920	gay_1930	gay_1940	gay_1950	gay_1960	gay_1970	
gay_1930	easterbrook	gay_1950	gay_1940	gay_1950	gay_1920	
gay_1950	gay_1920	gay_1930	gay_1920	colors	gay_1940	
gay_1940	gay_1940	gay_1920	gay_1930	gay_1940	gay_1950	
fluttering	gay_1950	gay_1960	gay_1960	gay_1930	gay_1930	
decorated	mandy	gay_1970	bright	gay_1970	gay_1960	
bright	linda	charming	gaiety	pastel	costumes	
gay_1970	gaylord	bright	gay_1970	bright	activists	
silk	gay_1960	witty	vivacious	gaudy	bright	
merry	amanda	colorful	joyous	striped	festive	

horse_1920	horse_1930	horse_1940	horse_1950	horse_1960	horse_1970	
horse_1930	horse_1920	horse_1930	horse_1930	horse_1930	horse_1920	
horse_1940	horse_1940	horse_1920	horses	horse_1940	horse_1930	
horses	horses	horse_1960	horse_1940	horse_1920	horses	
horse_1970	horse_1960	horse_1950	horse_1920	horse_1970	horse_1960	
pony	horse_1970	horses	horse_1960	horse_1950	horse_1950	
horse_1960	horse_1950	horse_1970	horse_1970	horses	horse_1940	
horse_1950	mare	pony	mare	pony	pony	
mare	pony	mare	stallion	mare	mare	
saddle	saddle	saddle	pony	stallion	stallion	

mail_1920	mail_1930	mail_1940	mail_1950	mail_1960	mail_1970	
mail_1930	mail_1940	mail_1950	mail_1960	mail_1950	mail_1960	
mail_1940	mail_1920	mail_1930	mail_1940	mail_1970	mail_1950	
mail_1960	mail_1960	mail_1960	mail_1970	mail_1940	mail_1940	
mail_1950	mail_1950	mail_1970	mail_1930	mail_1930	mail_1930	
mail_1970	mail_1970	mail_1920	mail_1920	mail_1920	mail_1920	
postal	airmail	mailing	mailing	letters	mails	
passengers	postal	letters	letters	postal	postal	
passenger	mails	mails	newspapers	telegrams	letters	
airmail	mailing	mailed	postal	envelopes	mailing	

memory_1920	memory_1930	memory_1940	memory_1950	memory_1960	memory_1970	
memory_1930	memory_1920	memory_1970	memory_1970	memory_1970	memory_1940	
memory_1940	memory_1940	memory_1920	memory_1940	memory_1940	memory_1960	
memories	memories	memory_1930	memory_1960	memory_1950	memory_1950	
memory_1950	memory_1970	memory_1960	memory_1920	memories	memories	
memory_1960	memory_1950	memory_1950	memory_1930	memory_1920	memory_1930	
memory_1970	memory_1960	memories	memories	memory_1930	memory_1920	
recollection	recollection	recollection	recollection	recollection	recollection	
loveliness	images	images	ghosts	image	images	
memorial	image	impressions	twilight	images	image	

mirror_1920	mirror_1930	mirror_1940	mirror_1950	mirror_1960	mirror_1970	
mirror_1930	mirror_1940	mirror_1930	mirror_1960	mirror_1970	mirror_1960	
mirror_1940	mirror_1920	mirror_1950	mirror_1970	mirror_1950	mirror_1950	
mirror_1950	mirror_1950	mirror_1920	mirror_1940	mirror_1940	mirror_1930	
mirror_1960	mirror_1970	mirror_1960	mirror_1930	mirror_1930	mirror_1940	
mirror_1970	mirror_1960	mirror_1970	mirror_1920	mirror_1920	mirror_1920	
mirrors	mirrors	mirrors	mirrors	mirrors	mirrors	
dresser	dresser	dressing-table	lens	dresser	dresser	
lenses	washstand	dresser	dresser	bathroom	bathroom	
lens	oval	mantel	concave	comb	lens	

mouse_1920	mouse_1930	mouse_1940	mouse_1950	mouse_1960	mouse_1970	
proudfoot	mouse_1940	blueblossom	rat	mouse_1930	mickey	
rat	mouse_1960	mouse_1930	follicles	mouse_1970	mouse_1960	
mole	rat	mice	glycogen	mickey	mouse_1940	
mice	mouse_1920	mouse_1920	mouse_1960	mouse_1950	mouse_1930	
meadow	mickey	mouse_1960	mouse_1930	mouse_1940	mouse_1950	
mouse_1930	mouse_1950	mickey	granules	rat	mouse_1920	
rats	mouse_1970	mouse_1970	cells	woodpecker	hoarded	
mouse_1940	mice	cat	mouse_1970	mouse_1920	squealing	
weasel	disney	jonah	epidermis	mice	mice	

music_1920	music_1930	music_1940	music_1950	music_1960	music_1970	
music_1950	music_1950	music_1950	music_1960	music_1950	music_1950	
music_1930	music_1940	music_1930	music_1930	music_1970	music_1960	
music_1940	music_1920	music_1960	music_1940	music_1940	music_1940	
music_1960	music_1960	music_1970	music_1970	music_1930	music_1930	
music_1970	music_1970	music_1920	music_1920	music_1920	music_1920	
composers	orchestra	piano	piano	orchestra	songs	
musical	symphony	orchestra	jazz	songs	piano	
songs	piano	tune	musical	piano	jazz	
bach	petrov	symphony	composers	jazz	orchestra	

newspaper_1920	newspaper_1930	newspaper_1940	newspaper_1950	newspaper_1960	newspaper_1970	
newspaper_1930	newspaper_1940	newspaper_1930	newspaper_1940	newspaper_1930	newspaper_1960	
newspaper_1940	newspaper_1960	newspaper_1950	newspaper_1960	newspaper_1970	newspaper_1950	
newspaper_1950	newspaper_1950	newspapers	newspaper_1930	newspaper_1940	newspaper_1940	
newspapers	newspaper_1920	newspaper_1960	newspapers	newspaper_1950	newspapers	
newspaper_1960	newspapers	newspaper_1920	newspaper_1970	newspapers	newspaper_1930	
newspaper_1970	newspaper_1970	newspaper_1970	newspaper_1920	newspaper_1920	newspaper_1920	
magazine	magazine	magazine	magazine	magazine	magazine	
news	news	papers	editorial	news	dailies	
editors	dailies	dailies	magazines	editorial	magazines	

paper_1920	paper_1930	paper_1940	paper_1950	paper_1960	paper_1970	
paper_1930	paper_1950	paper_1950	paper_1960	paper_1950	paper_1960	
paper_1950	paper_1920	paper_1930	paper_1940	paper_1970	paper_1950	
paper_1940	paper_1940	paper_1960	paper_1930	paper_1940	paper_1930	
paper_1960	paper_1960	paper_1920	paper_1970	paper_1930	paper_1940	
paper_1970	paper_1970	paper_1970	paper_1920	paper_1920	paper_1920	
sheet	sheet	sheet	sheet	sheet	sheet	
folded	sheets	sheets	wrapping	sheets	sheets	
sheets	folded	folded	sheets	napkins	wrapping	
stationery	wrapping	stationery	folded	wrapping	pad	

phone_1920	phone_1930	phone_1940	phone_1950	phone_1960	phone_1970	
telephone_1920	telephone_1930	phone_1950	telephone_1950	phone_1970	telephone_1970	
phone_1930	phone_1940	phone_1930	phone_1970	telephone_1960	phone_1960	
telephone_1940	camera_1930	phone_1970	phone_1940	phone_1950	telephone_1950	
phone_1940	phone_1950	telephone_1940	phone_1960	phone_1940	telephone_1960	
telephone_1930	phone_1970	phone_1960	phone_1930	telephone_1950	phone_1950	
phone_1970	phone_1960	telephone_1950	telephone_1960	telephone_1970	telephone_1940	
telephone_1950	telephone_1950	telephone_1930	telephone_1970	telephone_1930	phone_1940	
phone_1950	exits	telephone_1970	telephone_1940	telephone_1940	telephone_1930	
telephone_1970	brad	telephone_1960	receiver	phone_1930	phone_1930	

racism_1920	racism_1930	racism_1940	racism_1950	racism_1960	racism_1970	
activities	found	americans	racism_1970	racial	
espionage	last	anti-american	colonialism	bigotry	
sabotage	nationalism	that	imperialism	racism_1960	
subversive	fanatic	bigotry	discrimination	injustice	
passed	declared	america	anti-semitism	imperialism	
pass	draw	racketeering	racial	discrimination	
propaganda	concurrently	north	nationalism	racist	
subversion	frame-up	crowning	resurgence	colonialism	
certainly	tyranny	mississippi	bigotry	inequality	

record_1920	record_1930	record_1940	record_1950	record_1960	record_1970	
record_1930	record_1920	record_1950	record_1960	record_1950	record_1950	
record_1960	record_1940	record_1930	record_1970	record_1970	record_1960	
record_1940	record_1950	records	record_1940	record_1940	records	
record_1950	record_1960	record_1970	records	records	record_1940	
records	records	record_1960	record_1930	record_1930	record_1930	
record_1970	record_1970	record_1920	record_1920	record_1920	record_1920	
earnings	olympic	phonograph	highs	phonograph	statistics	
share	champion	peak	peak	alltime	all-time	
preferred	metres	recorded	high	recorded	recording	

rock_1920	rock_1930	rock_1940	rock_1950	rock_1960	rock_1970	
rock_1930	rock_1920	rock_1930	rock_1930	rock_1930	rock_1950	
rocks	rocks	rocks	rock_1960	rock_1950	rock_1930	
rock_1950	rock_1940	rock_1920	rock_1920	rock_1970	rock_1960	
rock_1940	rock_1950	rock_1950	rock_1940	rock_1920	rock_1940	
rock_1960	rock_1960	rock_1960	rocks	rocks	rock_1920	
ledge	limestone	rock_1970	rock_1970	rock_1940	rocks	
cliff	granite	rocky	granite	granite	limestone	
rock_1970	rock_1970	cliffs	cliffs	boulders	granite	
rocky	cliffs	boulders	boulders	sandstone	cliffs	

ship_1920	ship_1930	ship_1940	ship_1950	ship_1960	ship_1970	
ship_1940	ship_1950	ships	ship_1940	ship_1930	ship_1950	
ships	ship_1920	ship_1950	ship_1930	ship_1940	ship_1920	
vessel	ship_1940	ship_1920	ship_1920	ships	ship_1960	
ship_1930	ships	vessel	ships	ship_1950	ship_1940	
ship_1950	ship_1960	ship_1930	ship_1970	ship_1970	vessel	
ship_1970	ship_1970	ship_1960	vessel	ship_1920	ship_1930	
ship_1960	vessel	boat	ship_1960	vessel	ships	
boat	liner	ship_1970	liner	boat	boat	
liner	boat	freighter	boat	liner	liner	

symptom_1920	symptom_1930	symptom_1940	symptom_1950	symptom_1960	symptom_1970	
symptom_1960	symptom_1970	symptoms	symptoms	symptom_1920	symptom_1930	
dysentery	symptom_1940	mental	alcoholism	symptom_1930	symptoms	
diarrhea	symptoms	nervous	symptom_1940	stagnation	symptom_1940	
symptoms	symptom_1960	suffering	mental	mental	diagnosed	
symptom_1940	diagnose	disorders	infidelity	symptom_1950	symptom_1950	
appendicitis	manifestations	chronic	symptom_1970	symptom_1970	mental	
rheumatic	symptomatic	maladjustment	anemia	atrophy	chronic	
constipation	malaise	emotional	diarrhea	sterility	symptomatic	
cramps	causes	schizophrenia	causes	causes	bronchitis	

tank_1920	tank_1930	tank_1940	tank_1950	tank_1960	tank_1970	
gat	tanks	tanks	tanks	tanks	tank_1960	
ay	tank_1920	artillery	tank_1960	tank_1970	tanks	
vas	gasoline	armored	tank_1970	tank_1950	tank_1950	
py	tank_1950	tank_1950	tank_1940	pump	fuel	
tank_1930	tank_1960	infantry	tank_1930	gas	tank_1940	
tal	fuel	anti-aircraft	tank_1920	fuel	tank_1930	
tanks	pump	antiaircraft	gasoline	valve	tank_1920	
golly	tank_1970	divisions	fuel	liquid	gasoline	
gel	gallons	motorized	armored	gasoline	gas	

tape_1920	tape_1930	tape_1940	tape_1950	tape_1960	tape_1970	
tape_1940	tape_1920	tape_1950	tape_1960	tape_1970	tape_1960	
tape_1930	tape_1940	tape_1960	tape_1970	tape_1950	tape_1950	
tape_1950	tape_1950	tape_1920	tape_1940	recorders	tapes	
ticker	adhesive	tape_1930	tape_1930	recorder	nous	
gauze	tape_1960	adhesive	tapes	tapes	recorder	
adhesive	ticker	tape_1970	tape_1920	tape_1940	vous	
tape_1960	gauze	ticker	recorder	cameras	mais	
cloth	wound	gauze	adhesive	recordings	je	
paper_1920	bandages	bandage	amplifiers	amplifiers	que	

telephone_1920	telephone_1930	telephone_1940	telephone_1950	telephone_1960	telephone_1970	
telephone_1930	telephone_1940	telephone_1950	telephone_1940	telephone_1950	phone_1970	
telephone_1940	telephone_1950	telephone_1930	telephone_1930	telephone_1940	telephone_1950	
telephone_1950	telephone_1920	telephone_1960	telephone_1960	telephone_1970	telephone_1960	
telephone_1970	telephone_1960	telephone_1920	telephone_1970	telephone_1930	telephone_1930	
telephone_1960	telephone_1970	telephone_1970	telephone_1920	phone_1960	telephone_1940	
phone_1920	phone_1930	phone_1970	phone_1970	phone_1970	telephone_1920	
telegraph	phone_1970	phone_1940	phone_1950	telephone_1920	phone_1960	
phone_1970	phone_1960	phone_1960	phone_1960	phone_1950	phone_1950	
telephones	phone_1940	phone_1950	phone_1940	phone_1940	phone_1940	

train_1920	train_1930	train_1940	train_1950	train_1960	train_1970	
train_1930	train_1920	train_1950	train_1940	train_1950	train_1950	
train_1940	train_1940	train_1930	train_1930	trains	train_1920	
train_1950	train_1950	train_1920	train_1920	train_1940	trains	
trains	trains	trains	train_1970	train_1970	train_1960	
train_1970	train_1970	train_1960	train_1960	train_1920	train_1930	
train_1960	train_1960	train_1970	trains	train_1930	train_1940	
railroad	car_1920	freight	bus	bus	bus	
car_1920	railroad	passenger	freight	railroad	railroad	
freight	freight	railroad	railroad	passenger	subway	

travel_1920	travel_1930	travel_1940	travel_1950	travel_1960	travel_1970	
travel_1940	travel_1970	travel_1960	travel_1960	travel_1970	travel_1960	
travel_1930	travel_1960	travel_1950	travel_1970	travel_1950	tourist	
travel_1950	travel_1950	travel_1920	travel_1940	travel_1940	travel_1950	
travel_1960	travel_1940	travel_1970	travel_1930	travel_1930	travel_1930	
traveling	travel_1920	tourist	fares	traveling	travel_1940	
trains	transcontinental	fares	traveling	routes	traveling	
traveled	travels	travel_1930	transportation	passenger	trips	
traffic	transportation	passenger	passenger	space	fares	
travels	route	mail_1920	travel_1920	electrons	accommodations	

